planetlab1.eecs.jacobs-university.de 212.201.44.81
planetlab1.iis.sinica.edu.tw 140.109.17.180
planetlab1.informatik.uni-wuerzburg.de 132.187.230.7
planetlab1.tau.ac.il 192.114.4.2
planetlab1.unl.edu 129.93.229.138
planetlab2-tijuana.lan.redclara.net 200.0.206.13
planetlab2.eecs.ucf.edu 132.170.3.33
planetlab2.fri.uni-lj.si 212.235.189.115
planetlab2.ifi.uio.no 193.157.115.251
planetlab2.inf.ethz.ch 192.33.90.67
planetlab2.uta.edu 129.107.35.132
planetlab2.xeno.cl.cam.ac.uk 128.232.103.202
planetlab3.upc.es 147.83.30.164
planetlab4.cs.uoregon.edu 128.223.8.114
planetlab4.eecs.umich.edu 141.212.113.179
planetlab4.hiit.fi 193.167.187.186
planetlab4.ie.cuhk.edu.hk 137.189.98.209
planetlab6.csail.mit.edu 128.31.1.16
planetlab7.flux.utah.edu 155.98.35.8
ple2.cesnet.cz 195.113.161.14
vn5.cse.wustl.edu 128.252.19.18
